JobTitle,Location,Industry,Employment Type,seniorityLevel,JobFunction,CompanyName,JobPostedon
Refined Product Tankwagon Driver Taylor Michigan,Taylor; MI; US,Logistics and Supply Chain. Oil & Energy. Transportation/Trucking/Railroad,Full-time,Entry level,Management. Manufacturing,Atlas Oil Company,26-08-17
Frac Transport Driver day & Night Shifts Victoria Texas,Victoria; TX; US,Logistics and Supply Chain. Oil & Energy. Transportation/Trucking/Railroad,Full-time,Entry level,Management. Manufacturing,Atlas Oil Company,25-08-17
Crude Driver Victoria Texas,Victoria; TX; US,Logistics and Supply Chain. Oil & Energy. Transportation/Trucking/Railroad,Full-time,Entry level,Management. Manufacturing,Atlas Oil Company,16-08-17
Experience Diesel Mechanic I,Taylor; MI; US,Construction. Oil & Energy. Transportation/Trucking/Railroad,Full-time,Entry level,Management. Manufacturing,Atlas Oil Company,14-08-17
Tanker Transport Driver Refined Products Division Indianapolis Indiana,Indianapolis; IN; US,Logistics and Supply Chain. Oil & Energy. Transportation/Trucking/Railroad,Full-time,Entry level,Management. Manufacturing,Atlas Oil Company,13-08-17
Crude Driver Guthrie Oklahoma,Guthrie; OK; US,Logistics and Supply Chain. Oil & Energy. Transportation/Trucking/Railroad,Full-time,Entry level,Management. Manufacturing,Atlas Oil Company,14-08-17
Tanker Transport Driver Refined Products Division Taylor Michigan,Taylor; MI; US,Logistics and Supply Chain. Oil & Energy. Transportation/Trucking/Railroad,Full-time,Entry level,Management. Manufacturing,Atlas Oil Company,8/9/17
Crude Driver Tilden Texas,Tilden; TX; US,Logistics and Supply Chain. Oil & Energy. Transportation/Trucking/Railroad,Full-time,Entry level,Management. Manufacturing,Atlas Oil Company,8/8/17
Frac Transport Driver San Antonio Texas,San Antonio; TX; US,Logistics and Supply Chain. Oil & Energy. Transportation/Trucking/Railroad,Full-time,Entry level,Management. Manufacturing,Atlas Oil Company,8/8/17
Frac Driver San Antonio Texas,San Antonio; TX; US,Logistics and Supply Chain. Oil & Energy. Transportation/Trucking/Railroad,Full-time,Entry level,Management. Manufacturing,Atlas Oil Company,8/8/17
Tanker Transport Driver Refined Products Division Commerce City Colorado,Commerce City; CO; US,Logistics and Supply Chain. Oil & Energy. Transportation/Trucking/Railroad,Full-time,Entry level,Management. Manufacturing,Atlas Oil Company,8/6/17
Class A Commercial Driver's Licensed Drivers Owner Operators,Guthrie; OK; US,Oil & Energy. Transportation/Trucking/Railroad. Events Services,Full-time,Not Applicable,General Business. Management. Business Development,Atlas Oil Company,18-08-17
Tanker Transport Driver Refined Products Division,Niles; MI; US,Construction. Oil & Energy. Transportation/Trucking/Railroad,Full-time,Entry level,Management. Manufacturing,Atlas Oil Company,26-08-17
Tanker Transport Driver Refined Products Division,Niles; MI; US,Construction. Oil & Energy. Transportation/Trucking/Railroad,Full-time,Entry level,Management. Manufacturing,Atlas Oil Company,16-08-17
Refined Product Tankwagon Driver,Taylor; MI; US,Construction. Oil & Energy. Transportation/Trucking/Railroad,Full-time,Entry level,Management. Manufacturing,Atlas Oil Company,14-08-17
Data Control Specialist Procurement,Mumbai; IN,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Information Technology,Baker Hughes a GE company,24-08-17
Principal Data Scientist,Houston; Texas,Oil & Energy. Computer Software,Full-time,Mid-Senior level,Information Technology. Engineering,Baker Hughes a GE company,19-08-17
Senior Data Scientist,Houston; Texas,Oil & Energy. Computer Software,Full-time,Mid-Senior level,Information Technology. Engineering,Baker Hughes a GE company,19-08-17
Service Engineer Automation & Controls 2869252,Frankfurt Am Main Area; Germany,Oil & Energy,Full-time,Mid-Senior level,Engineering. Other,Baker Hughes a GE company,25-08-17
Lead Optical Design Engineer,Syracuse; New York Area,Mechanical or Industrial Engineering. Oil & Energy. Airlines/Aviation,Full-time,Associate,Engineering. Design,Baker Hughes a GE company,16-08-17
Thru Tubing Fishing Milling Field Engineer,Al A?madi; KW,Information Technology and Services. Computer Software. Machinery,Contract,Entry level,Engineering. Information Technology,Baker Hughes a GE company,31-07-17
Software Technical Writer Minden NV,Reno; Nevada Area,Computer Software. ELearning. Information Technology and Services,Full-time,Associate,Writing/Editing. Information Technology. Training,Baker Hughes a GE company,8/2/17
Fishing Specialist,Greater Jakarta Area; Indonesia,Oil & Energy,Full-time,Mid-Senior level,Other,Baker Hughes a GE company,8/3/17
1707477Field Operator Water Management Evans CO,Evans; Colorado,Oil & Energy,Full-time,Associate,Production. Manufacturing,Baker Hughes a GE company,17-08-17
Welder,Dubai; AE,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,22-08-17
Mechanical Assembler,Dubai; AE,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,22-08-17
Assembly Maintenance & Overhaul AMO Technician IV Drilling Services,Dubai; AE,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,16-08-17
Mechanical Reliability Engineer m/f,Celle; DE,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,22-07-17
Electrical Manufacturing Engineer,Celle; DE,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,8/8/17
E I & C Engineer Electrical Bias Manufacturing,Liverpool; GB,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,22-07-17
Field Engineer Drill Bits Midland TX,Midland; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,8/8/17
Field Engineer Cased Hole Completions Odessa TX,Odessa; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,8/8/17
Manufacturing Engineer Products & Technology Oklahoma City OK,Oklahoma City; OK; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,29-07-17
Systems Engineer,Celle; DE,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Information Technology,Baker Hughes a GE company,8/9/17
SUSTAINING ENGINEER COMPLETIONS AND WELLBORE INTERVENTION,Tyumen; RU,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Quality Assurance,Baker Hughes a GE company,29-06-17
Additive Manufacturing Design Engineer m/f,Celle; DE,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,22-07-17
TECHNICAL SUPPORT ENGINEER DRILLING SERVICES,Noyabrsk; RU,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Information Technology,Baker Hughes a GE company,22-07-17
Supplier Quality Engineer m/f,Celle; DE,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Quality Assurance,Baker Hughes a GE company,8/2/17
Welding Engineer Drilling Services Oklahoma City OK,Oklahoma City; OK; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,29-06-17
Field Engineer WBI Thru Tubing & Fishing Odessa TX,Odessa; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,30-06-17
Mechanical Design Engineer Drill Bits The Woodlands TX,The Woodlands; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,26-08-17
Technical Support Engineer Process and Pipeline Services Edmonton AB,Edmonton; CA,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Information Technology,Baker Hughes a GE company,26-08-17
Cementing Engineer,Jakarta; ID,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,23-08-17
Technical Support Engineer,Jakarta; ID,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Information Technology,Baker Hughes a GE company,23-08-17
Reliability Engineer m/w,Celle; DE,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,23-08-17
Tech Support Engineer Cased Hole Completions Brighton CO,Brighton; CO; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Information Technology,Baker Hughes a GE company,17-08-17
Manufacturing Process Development Engineer,Celle; DE,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,17-08-17
CNC Machinist,Dubai; AE,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/1/17
General Ledger Accountant,Kuala Lumpur; MY,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Accounting/Auditing. Finance,Baker Hughes a GE company,8/9/17
Indirect Tax Analyst,Kuala Lumpur; MY,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Accounting/Auditing. Finance,Baker Hughes a GE company,25-08-17
Account Coordinator Drill Bits Midland TX.,Midland; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Sales. Business Development,Baker Hughes a GE company,8/9/17
Account Coordinator Drill Bits Midland TX,Midland; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Sales. Business Development,Baker Hughes a GE company,8/9/17
Chemical Technician Downstream Chemicals New Orleans LA,Baton Rouge; LA; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Research. Analyst. Information Technology,Baker Hughes a GE company,8/1/17
ACCOUNT COORDINATOR DRILLING SERVICES,Tyumen; RU,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Sales. Business Development,Baker Hughes a GE company,29-06-17
Account Coordinator Artificial Lift Long Beach CA,Long Beach; CA; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Sales. Business Development,Baker Hughes a GE company,29-06-17
Software Developer C#/.Net m/f,Celle; DE,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,22-07-17
Software Developer Embedded Systems m/f,Celle; DE,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,22-07-17
Software Developers,Delft; NL,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,22-07-17
Software Developer Build and Maintenance,Delft; NL,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,22-07-17
Fishing and Thru Tubing Specialist Odessa TX,Odessa; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Other,Baker Hughes a GE company,8/3/17
Field Service Coordinator Upstream Chemicals Edinburg TX,Corpus Christi; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/9/17
Sr. Driver Upstream Chemicals Roosevelt UT,Roosevelt; UT; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/12/17
Chemical Service Representative Upstream Chemicals Carrizo Springs TX,Carrizo Springs; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Customer Service. Information Technology,Baker Hughes a GE company,8/9/17
Chemical Service Representative Upstream Chemicals Edinburg TX,Corpus Christi; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Customer Service. Information Technology,Baker Hughes a GE company,8/9/17
Field Service Coordinator Upstream Chemicals Shafter CA,Shafter; CA; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/4/17
North America Logistics Specialist Midland TX,Midland; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,22-07-17
Customer Service Representative 2nd Shift Artificial Lift Midland TX,Midland; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Customer Service. Information Technology,Baker Hughes a GE company,8/1/17
HSE Specialist Chemical & Industrial Services Pasadena TX,Pasadena; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,28-07-17
STRATEGIC SOURCING COORDINATOR,Tyumen; RU,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Purchasing. Supply Chain,Baker Hughes a GE company,25-07-17
Account Coordinator / Technical Sales Representative Process & Pipeline Services Sarnia ON,Sarnia; CA,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Sales. Business Development,Baker Hughes a GE company,29-06-17
Support Operator Rotating 12 hour shift Pasadena TX,Pasadena; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Information Technology,Baker Hughes a GE company,8/10/17
Field Coordinator Upstream Chemicals Shafter CA,Shafter; CA; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Project Management. Information Technology,Baker Hughes a GE company,27-07-17
Inventory Expeditor Artificial Lift Midland TX,Midland; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/1/17
AMO Mechanical Technician Leduc AB,Leduc; CA,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,8/4/17
AMO Mechanical Technician Clairmont AB,Clairmont; CA,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,8/4/17
Field Coordinator Upstream Chemicals Odessa TX,Odessa; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Project Management. Information Technology,Baker Hughes a GE company,22-07-17
AMO Technician Drill Bits Leduc AB,Leduc; CA,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,8/8/17
Electronic Assembler Controls ~ Artificial Lift _研 Claremore OK,Claremore; OK; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,29-06-17
R&M Welder Odessa TX,Odessa; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/8/17
Carbide Welder CompletionsClarksburgWV,United; WV; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/8/17
Field Specialist Wellbore Construction Liners US Land,San Antonio; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/5/17
AMO Technician Thrutubing tools Odessa TX,Odessa; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,8/1/17
AMO Technician Equipment ThruTubing Tools Odessa TX.,Odessa; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,8/1/17
Cased Hole Completions / Wellbore Construction Account Manager,Al A?madi; KW,Information Technology and Services. Computer Software. Machinery,Full-time,Mid-Senior level,Management. Manufacturing,Baker Hughes a GE company,31-07-17
AMO Technician,Warsaw; PL,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,29-07-17
Field Specialist Cased Hole Completions Odessa TX,Odessa; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/4/17
Field Specialist ThruTubing & Motors US Land,San Antonio; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/4/17
Mechanical Assembler Completions Houston TX,Houston; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/4/17
Sales Specialist Drill Bits San Angelo TX,San Angelo; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Sales. Business Development,Baker Hughes a GE company,8/3/17
Assembly Technician _研 2nd Shift Artificial Lift Tulsa OK,Tulsa; OK; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/12/17
Stator Assembly Oklahoma City OK,Oklahoma City; OK; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,28-07-17
Sales & Use Tax Analyst Houston Texas,Houston; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Accounting/Auditing. Finance,Baker Hughes a GE company,29-06-17
Assembly Maintenance & Overhaul Technician Coating Shop Artificial Lift Midland TX,Midland; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/10/17
Assembly Maintenance & Overhaul Technician 2nd Shift Coating Shop Artificial Lift Midland TX,Midland; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/10/17
Disassembly Maintenance & Overhaul Technician 3rd Shift Artificial Lift Tulsa OK,Tulsa; OK; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/9/17
Mechanic / Industrial Maintenance Technician 2nd Shift Artificial Lift Tulsa OK,Tulsa; OK; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/4/17
Disassembly Maintenance & Overhaul Technician _研 3rd Shift Artificial Lift Tulsa OK,Tulsa; OK; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/8/17
FIELD OPERATOR DRILL BITS,Krasnoyarsk; RU,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,28-07-17
Field Operator Water Management Minot ND,Minot; ND; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,7/11/17
Equipment Technician Well Construction Evansville WY,Evansville; WY; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,22-07-17
Directional Driller Mount Pleasant PA,United; PA; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,29-06-17
Field Operator Process and Pipeline Services Mount Pearl NL or Sarnia ON,Mount Pearl; CA,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,22-07-17
CDL Driver Upstream Chemicals Odessa/Crane TX,Odessa; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/12/17
LWD Field Specialist Houston TX,Houston; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,22-07-17
Field Specialist Intelligent Production Systems Leduc AB,Leduc; CA,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,29-06-17
TAPE LINE OPERATOR,Tyumen; RU,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/4/17
Field Operator Water Management Evans CO,Evans; CO; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,29-06-17
Field Operator Water Management Evans CO,Evans; CO; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,29-06-17
Machinist 3rd Shift Artificial Lift Tulsa OK,Tulsa; OK; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/3/17
Mechatronic Production Worker m/f,Celle; DE,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,22-07-17
CDL Driver upstream Chemicals Odessa/crane Tx Odessa Texas,Odessa; TX; US,Environmental Services. Chemicals. Oil & Energy,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,8/12/17
Screen Machine Operator Completions _研 Houston TX,Houston; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Engineering. Information Technology,Baker Hughes a GE company,8/4/17
Welder Houston TX,Houston; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,7/4/17
CNC Machinist Oklahoma City OK,Oklahoma City; OK; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,22-07-17
Assembler Stator Oklahoma City OK,Oklahoma City; OK; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,22-07-17
Field Operator WirelineWoodward OK,Woodward; OK; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,7/4/17
Field Specialist Wellbore Construction Odessa TX,Odessa; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,29-06-17
Wireline Field SpecialistWoodward OK,Woodward; OK; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,7/4/17
Welder 2nd Shift Drill Bits The Woodlands TX,The Woodlands; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,29-06-17
Field Operator Process and Pipeline Services Edmonton AB,Edmonton; CA,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,29-06-17
Machinist,Aberdeen; GB,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,22-07-17
Field Operator Wireline Services Olney IL,Olney; IL; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,29-06-17
Field Operator WirelineOklahoma City OK,Oklahoma City; OK; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,29-06-17
Field Specialist Artificial Lift Midland TX,Midland; TX; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,29-06-17
ESP Field Specialist ALS Dickinson ND,Dickinson; ND; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,29-06-17
Field Specialist Cased Hole Completions/R&S _研 Clairmont AB,Clairmont; CA,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,29-06-17
Field Specialist Wireline Services Olney IL,Olney; IL; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,29-06-17
Mechanical Assembler Artificial Lift Claremore OK,Claremore; OK; US,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,29-06-17
ASSEMBLER MECHANICAL,Moscow; RU,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,29-06-17
Long Haul Chemical Transport Driver Travel throughout Western Canada Calgary AB,Calgary; CA,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,29-06-17
Long Haul Chemical Transport Driver Canada and United States travel Calgary AB,Calgary; CA,Information Technology and Services. Computer Software. Machinery,Full-time,Entry level,Management. Manufacturing,Baker Hughes a GE company,29-06-17
